codigo_nif,nombre,cluster_modelo_negocio,PC1,PC2,cluster_label
B54874003,MON DEL NUGOL SL.,3,0.5071262669613684,-0.5772403644251404,C3
B97691505,TEXTIGEN SL,3,-0.7441611143843201,-0.5076543364337571,C3
B42566844,R. J. SANCHIS MODELOS SL.,1,1.6194909414043903,-1.6629951929671607,C1
B46185443,GRAFICAS OLLERIA SL,3,-1.2236485013973177,-0.3102824336431526,C3
B53184537,MARMOLES Y DECORACION ESTILO M-30 SL,2,-0.9000207036920654,1.0371554883819651,C2
B96046925,PLASTICOS LINARES SL,3,-0.1069927770868678,-1.1358033883486782,C3
B96470901,FUSTERIA I MOBLES NALSANZ SL,3,-1.186972960879699,-0.7544764185964559,C3
B01821115,DELENZO LINEN FROM EUROPE SL.,3,-0.7560245879062241,-1.339114055352098,C3
B03987740,TEJIDOS VILANOVA S.L.,2,-1.4899281424535091,-0.2701700770372049,C2
A46068581,DESSIGRAF SA,2,-1.5527452307566436,1.8851291391543321,C2
B96909122,TEXTILES AETEX SL.,2,-2.0185138493532038,-0.011552739419975646,C2
B54892989,IMPRESIONES SIMON SL,3,-1.554678110537458,-2.1592514028065866,C3
B53080594,FUSNIL SL,2,-1.4906826556937594,2.0878383045851323,C2
B54737564,AUXILIAR MAPEL SL.,2,-1.868464622078184,1.4934705222142475,C2
B54637715,BEST BREATHE COMPANY SL.,2,-1.6269221624850743,0.3979982878101452,C2
B54396528,BATACHAP SL,3,-1.9881922155543146,-0.847295277978484,C3
B54541727,DORADOS DE IBI SL,3,-1.2004379607717706,-0.36607370562063096,C3
B96215702,ARLIMPLAST SL,3,-0.9848370786515787,-0.35005688223959897,C3
B96416516,GRAFICAS TORMO LIT SL,3,-1.4894980432268474,-0.9569570535568547,C3
B54840350,SISTEMAS METALICOS EL COMTAT SL,3,-1.8680396382689521,-0.42216088187313855,C3
B96519715,JOAN ROSES SL,3,0.1891879963798992,-0.5672971066797777,C3
B81350282,MARDAN INTERMEDIARIOS S.L.,2,-0.5820332696355658,0.9880472739383988,C2
B03955481,TERMO-ART SL,2,-1.6537660159849619,1.1012207438868928,C2
B53300497,JOSE JUAN RICO E HIJOS S.L.,2,-2.1691451563260205,1.5182060235890893,C2
B54655733,ECOSPAIN MEDITERRANEA INGENIERIA DEL CONFORT SL,3,-1.6112997513441394,-0.40591398366408626,C3
B54029913,BALLESTER MERINO SL,2,-1.8991832690397448,0.2976285529396373,C2
B53612339,CASA GRIM S.L.,2,-1.4677255515736796,1.2117297505051199,C2
B72506819,ARTESANIAS SUCH SL.,2,-1.2823552604048303,0.9925123603335427,C2
B73901480,INDUSTRIAS GRAFICAS BASE 2000 SL.,1,1.1012209084542892,0.723184944989044,C1
B03901147,DOLORES MORILLAS SL,2,-1.2038492180133562,3.1730792518072173,C2
A46106712,SA DE URDIMBRES,2,-1.9214499393654538,-0.24406836320234368,C2
B97108500,ESPAI EN FUSTA SL,3,-0.3672094811855303,-1.936661880665066,C3
B98254931,FUSTES-DUC SOCIEDAD LIMITADA.,2,-2.068431263415568,1.3660378475041994,C2
B53238382,GAME-MOVIL SL,2,-2.3836804967140144,2.107892390565675,C2
B97393532,LARASUN METAL SL,3,-0.17536885436848473,-1.3918091494311133,C3
B02886356,REGENERADOS DEL ALGODON SL.,2,-1.2591992224463595,1.3837168315813788,C2
B03103132,FRANCISCO FERRE NAVARRO SL,3,-1.06099610968847,0.4049434716053536,C3
B98756968,SANSAR PACKAGING SL.,3,-1.1730045248697654,-0.5002998706328601,C3
B98630932,VINYA ALFORI SOCIEDAD LIMITADA.,2,-0.8742964428003299,5.2138005899535695,C2
B46927414,BESANT SL,2,-2.0793367708109844,0.3228514540225294,C2
B54304084,BERENGUER & QUILIS SL,2,-1.6909097552436836,-0.13643389214673973,C2
B40628034,LOGRATA DESING SOCIEDAD LIMITADA.,3,-0.10229274593235867,-3.2817759995474765,C3
B42502690,TROQUELES DE VES SL.,3,-0.941756603034768,-0.8578750932499422,C3
B96398136,CERRAJERIA NAVALON VAÑO SL,2,-1.4506950115074295,1.0604234232653904,C2
B53280871,CHUSCOS CAPOT SL,3,-1.792444384103495,-2.0124325004231074,C3
B53934519,CELLER LA MUNTANYA SL,2,-2.8602867229542275,4.662500424761146,C2
B53529624,MUÑECAS RAUBER SL,2,-1.4803029651236195,0.7214242852030591,C2
B54166038,MANOLO DOLLS SL.,2,-2.054542806365578,1.0146954486332176,C2
B03993078,TOLDOS LLORENS GILABERT SL,3,-1.180316636183893,-1.335072454104475,C3
B54905369,IMPRENTA DOMINGUEZ 1922 SL.,3,-1.765131780344902,-0.17836827428851723,C3
B98864739,CUESTAMARK ALIMENTACION GOURMET SOCIEDAD LIMITADA.,2,-2.3803798092849675,-0.0951697668948689,C2
B03959020,BASTIDORES JURASA SL,3,-1.4048600006621867,-0.6464768170144698,C3
B54836432,PARTYPLAST SL.,2,-2.0739506948654456,0.9931781224512553,C2
B53745147,MOLDURAS SAMPER SL,3,-1.8188050662637651,-0.33248856145053673,C3
B42657403,CONFOBIRD SL.,2,-2.0505424575206987,0.23499626835708712,C2
B03930062,TAPITER SL,2,-2.0396154335808374,4.201635376710751,C2
B40577736,TABLERCHOP SOCIEDAD LIMITADA.,3,-2.0834486226322686,-0.9503547451914921,C3
