id,nombre,codigo_nif,localidad,codigo_primario_cnae_2009,sector,actividad,literal_codigo_cnae_2009_primario,fecha_constitucion,año,antiguedad,segmentacion_de_antiguedad,nombre_marca,marca_sn,nombre_auditor,auditor_sn,no_of_companies_in_corporate_group,grupos_corporativos,numero_de_participadas,participadas,remuneracion_consejo,consejo,importador_exportador,importacion_percent,importacion_euros,exportacion_percent,exportacion_euros,total_activo,fondos_propios,gastos_de_personal,coste_por_persona,personal_porcentaje,rendimiento,ebitda,inmovilizado,ingresos_de_explotacion,ingresos_de_explotacion_mil_eur_ano_1,ingresos_de_explotacion_mil_eur_ano_2,numero_empleados,valor_agregado,segmentacion_tamano_1,segmentacion_tamano_2,crecimiento,crece,capitalizacion,rotacion_de_activos,inmovilizado_tactivo,va_porcentaje,productividad_va_pax,productividad_ventas_pax,ultimo_ano_disponible,ult_año_disp,materiales,resultado_explotacion,resultado_del_ejercicio,deudores,deudores_sin_iva,existencias,acreedores_comerciales,acreedores_comerciales_sin_iva,deudas_financieras,dotaciones_para_amortiz_de_inmovil,cash_flow,fondo_de_maniobra,margen,coste,rotacion_stocks,competitividad,nofs_ventas,segmentacion_tamano_2_grp,segmentacion_tamano_1_grp,localidad_grp,sector_grp,inmovilizado_empleado,ebitda_porc,clientes_proveedores_sin_iva
29,BENIPLAST BENITEX SA,A46050746,BENIGANIM,1396,Textil,Industria,Fabricación de otros productos textiles de uso técnico e industrial,1970-11-25,1970,55,Mayor de 50 años,BENITEX,Sí,Andreu Romero Y Asociados S.A.P.,Sí,0.0,No Grupo Corporativo,1,Participadas,,No consejo,Importador / Exportador,0.0,0.0,71.0,10942.08406,27671.798,23418.122,7109.913,36.4610923076923,0.280642200893329,0.091433849003957,2530.139,3371.66,25334.44,21719.077,25226.225,195,9923.054,De 10 - 50M€,Más de 20M€,0.166460250589838,Crece,0.84628118490891,0.915532846835612,0.121844630406741,0.39168238966403,50.8874564102564,129.920205128205,2024-12-31,2024,10740.43,2215.273,1868.582,8255.867,6823.0305785124,5834.052,1909.999,1578.51157024793,0.0,314.866,2183.448,12179.92,0.423945822366707,0.576054177633293,1.84098976148996,0.780479918403547,0.437292910688551,Más de 5M€,Más de 10M€,,Textil,17.2905641025641,0.09986954517250037,4.32244571855798
30,ALJUAN SL,B53048997,IBI,2229,Plástico,Industria,Fabricación de otros productos de plástico,1995-07-21,1995,30,Entre 25 y 50 años,Sin marca,No,Asesores Y Consultores Financieros Independientes,Sí,0.0,No Grupo Corporativo,1,Participadas,,No consejo,Exportador,0.0,0.0,47.0,7860.2727902,26479.53846,20086.56019,5143.81221,39.2657420610687,0.204894728337519,0.121717535026855,3223.02415,9125.47963,25104.65863,28794.45141,28589.30862,131,8380.67397,De 10 - 50M€,Más de 20M€,-0.128142492713668,Decrece,0.75856912009032,0.948077651274893,0.344623817510451,0.333829433553226,63.9746104580153,191.638615496183,2024-12-31,2024,9093.58671,1521.05563,1076.03834,5768.90359,4767.68891735537,9342.46694,1108.7854,916.351570247934,1393.40038,1701.96852,2778.00686,14002.585129,0.362227060882365,0.637772939117635,0.973360330670862,0.352577451758393,0.525552029269216,Más de 5M€,Más de 10M€,,Plástico,69.66014984732824,0.12838350831620132,5.202903636718157
31,PRACTICEL SL,B53794798,GAIANES,1712,Papel y Cartón,Industria,Fabricación de papel y cartón,2003-08-06,2003,22,Entre 10 y 25 años,PRÁCTIKA,Sí,Audibers & Asociados Auditores S.L.,Sí,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,14796.0038,9411.95685,1157.22731,25.1571154347826,0.0472624501979702,0.231362859612134,3423.24575,5913.01156,24485.13154,24473.12196,23982.82009,46,4609.58756,De 10 - 50M€,Más de 20M€,0.000490725295269945,Se mantiene,0.63611478999485,1.65484761094749,0.399635715151682,0.188260681894625,100.208425217391,532.28546826087,2024-12-31,2024,18093.45657,2713.46473,2027.82842,5087.17713,4204.27861983471,581.11605,2078.90775,1718.1055785124,0.0,709.78102,2737.60944,3589.385429,0.738956886567741,0.26104311343225906,31.1357027051653,23.0079419321078,0.125271497370208,Más de 5M€,Más de 10M€,,Papel y cartón,128.54372956521738,0.13980916314080788,2.447043227387069
32,VIDRIOS SAN MIGUEL SL.,B46264800,AIELO DE MALFERIT,2313,Vidrio,Industria,Fabricación de vidrio hueco,1985-04-17,1985,40,Entre 25 y 50 años,DESIGNED BY VSM,Sí,FIDES AUDIT ASSURANCE S.L.,Sí,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,4.0,525.4617044,89.0,11691.5229229,21050.00422,18054.51125,8634.23617,28.3089710491803,0.355313698838694,0.0742356654026362,1562.66107,8891.23611,24300.31884,25515.62087,34500.47357,305,11163.77623,De 10 - 50M€,Más de 20M€,-0.0476297259702934,Se mantiene,0.857696324490333,1.1544092146505,0.422386428861248,0.459408631775796,36.6025450163934,79.6731765245902,2024-12-31,2024,10323.16187,517.75592,1147.30289,4588.24564,3791.93854545455,5270.40343,806.22005,666.297561983471,106.79713,1044.90515,2192.20804,9052.42902,0.42481590212748,0.57518409787252,1.95870430169328,0.832088734924805,0.345511697552322,Más de 5M€,Más de 10M€,La Vall d'Albaida,Otros,29.151593803278686,0.06430619615688961,5.691058712816687
33,JOVISA RECYCLING MACHINERY SL.,B04980181,MURO DE ALCOY,2829,Maquinaria,Industria,Fabricación de otra maquinaria de uso general n.c.o.p.,2021-03-18,2021,4,Menor de 10 años,Sin marca,No,Rives & Lozano Asesores Legales S.L.P.,Sí,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Exportador,0.0,0.0,27.0,5581.4073003,9994.99402,2187.80353,1829.25348,46.9039353846154,0.0759468552000557,0.156303159048814,1562.24914,1155.34931,24085.96742,21587.4422,10509.889459,39,3414.08853,De 10 - 50M€,Más de 20M€,0.115739752623403,Crece,0.218889928860608,2.40980308460455,0.115592796522754,0.141745958153422,87.5407315384615,617.588908205128,2024-12-31,2024,19710.06508,1273.83504,969.9747,6716.58181,5550.89405785124,965.07,6538.89094,5404.04209917355,5.2849,288.4141,1258.388799,1142.760869,0.8183215038161,0.18167849618389997,20.4234564124882,16.7129535645899,0.0461647206976786,Más de 5M€,Más de 10M€,El comtat,Otros,29.624341282051283,0.06486138226288442,1.0271744660723774
34,ENVAPLAST SL,B03145232,BENIMARFULL,2222,Plástico,Industria,Fabricación de envases y embalajes de plástico,1984-04-12,1984,41,Entre 25 y 50 años,ENVAPLAST,Sí,Don Jose Brotons Figuerola,Sí,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,14077.69022,11619.56254,1505.42009,40.6870294594595,0.0648867317947087,0.537519608028425,7567.034529,1349.57799,23200.7384,24009.59662,25861.50804,37,9205.43344,De 10 - 50M€,Más de 20M€,-0.0336889549958629,Se mantiene,0.825388423698387,1.64805007337347,0.0958664361063061,0.396773295801654,248.795498378378,627.046983783784,2024-12-31,2024,11331.19828,7144.89747,5454.93133,4769.58966,3941.80963636364,1881.68889,1105.05819,913.271231404959,0.0,422.13706,5877.06839,5546.220359,0.488398174430517,0.511601825569483,6.02182344818967,2.94104757883872,0.211640992209053,Más de 5M€,Más de 10M€,,Plástico,36.47508081081081,0.326154900699195,4.316143442183803
35,KAMAX GALOL COATINGS SA.,A46185484,L'OLLERIA,2561,Metal,Industria,Tratamiento y revestimiento de metales,1982-09-13,1982,43,Entre 25 y 50 años,ESLOK,Sí,RODL & PARTNER AUDITORES S.P.L.,Sí,22.0,Grupo Corporativo,0,No participadas,,No consejo,Exportador,0.0,0.0,1.0,117.47251,19294.897,7073.103,6169.011,35.6590231213873,0.271105365666169,0.243951496605553,4707.019,3505.61,22755.031,22846.05924,21811.49334,173,11007.78,De 10 - 50M€,Más de 20M€,-0.00398441757695445,Se mantiene,0.366578945718135,1.17932896972707,0.181685862329299,0.483751483353286,63.6287861271676,131.531971098266,2024-12-31,2024,6630.108,4259.294,2997.679,4658.315,3849.84710743802,2062.953,1072.73,886.553719008264,738.341,447.725,3445.404,5648.538,0.29136888453371,0.70863111546629,3.21389193064505,0.936428106843942,0.22088506003045,Más de 5M€,Más de 10M€,,Metal,20.26364161849711,0.20685618929721522,4.342485993679683
36,CARTONAJES BAÑERES SA,A03009263,BANYERES DE MARIOLA,1310,Textil,Industria,Preparación e hilado de fibras textiles,1957-07-24,1957,68,Mayor de 50 años,CB CARTOBAN CARTONAJES BAÑERES S.A.,Sí,PricewaterhouseCoopers Auditores S.L.,Sí,45.0,Grupo Corporativo,1,Participadas,,No consejo,Exportador,0.0,0.0,1.0,148.78342121,26587.02475,23911.2328,3191.6688,33.24655,0.140866611639424,0.154427509606918,4105.76802,6189.8387,22657.3832,22750.25977,26059.33861,96,7779.041079,De 10 - 50M€,Más de 20M€,-0.00408243997822277,Se mantiene,0.899357224993744,0.852197017644857,0.232814267794293,0.343333606106816,81.03167790625,236.014408333333,2024-12-31,2024,11177.09132,3638.83742,3140.66553,5303.98818,4383.46130578512,1505.58022,26.92366,22.250958677686,513.97021,466.9306,3607.59613,6782.644739,0.493309011960393,0.506690988039607,7.42377667528071,3.66221593669734,0.258935046263747,Más de 5M€,Más de 10M€,L'Alcoià,Textil,64.47748645833333,0.18121104205890823,197.00100877815214
37,ROCHLING INDUSTRIAL BOCAIRENT S.A.U.,A46215661,BOCAIRENT,2221,Plástico,Industria,"Fabricación de placas, hojas, tubos y perfiles de plástico",1983-10-20,1983,42,Entre 25 y 50 años,Sin marca,No,Ernst & Young S.L.,Sí,120.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,91.0,14641.7406772,13.0,2091.6772396,17438.60008,14277.03679,3449.40264,45.9920352,0.157610321860003,0.125906167348727,2195.6273,2373.86372,21885.63921,22584.32146,20799.11813,75,5795.81429,De 10 - 50M€,Más de 20M€,-0.0309366057881111,Se mantiene,0.818703148446765,1.25501124571921,0.136126965989807,0.264822710197643,77.2775238666667,291.8085228,2024-12-31,2024,14273.327,1688.03196,1449.25539,5131.97538,4241.30196694215,3221.36067,306.75343,253.515231404959,0.0,507.59534,1956.85073,8046.58262,0.652177752865368,0.34782224713463195,4.43083791669934,2.88969391582365,0.3294008155925,Más de 5M€,Más de 10M€,,Plástico,31.651516266666665,0.10032274035646044,16.729969017787333
38,PLA ALBERT SL,B46579058,ALBAIDA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",1988-09-14,1988,37,Entre 25 y 50 años,MICROPLUS M+,Sí,AUDICONTROL FINANCIAL AUDIT SOCIEDAD LIMITADA PROF,Sí,0.0,No Grupo Corporativo,0,No participadas,10.0,Consejo,Importador / Exportador,66.0,11086.4086344,12.0,2015.7106608,15446.9233,12975.79532,1081.64872,30.9042491428571,0.050496295655013,0.216735142978278,3347.89113,1091.64552,21420.35779,19988.48308,16446.74575,35,4622.76895,De 10 - 50M€,Más de 20M€,0.0716349862202748,Crece,0.840024584054224,1.38670707259872,0.0706707412731181,0.215811939059119,132.079112857143,612.010222571428,2023-12-31,2023,14830.90334,3229.67831,2560.00604,4194.16569,3466.25263636364,1934.50114,1499.84224,1239.53904132231,156.96817,118.21282,2678.21886,4628.82459,0.692374211738132,0.30762578826186804,7.66652602748014,5.30810491504643,0.194264483153683,Más de 5M€,Más de 10M€,La Vall d'Albaida,Textil,31.189872,0.15629482769718014,2.796404567189692
