id,nombre,codigo_nif,localidad,codigo_primario_cnae_2009,sector,actividad,literal_codigo_cnae_2009_primario,fecha_constitucion,año,antiguedad,segmentacion_de_antiguedad,nombre_marca,marca_sn,nombre_auditor,auditor_sn,no_of_companies_in_corporate_group,grupos_corporativos,numero_de_participadas,participadas,remuneracion_consejo,consejo,importador_exportador,importacion_percent,importacion_euros,exportacion_percent,exportacion_euros,total_activo,fondos_propios,gastos_de_personal,coste_por_persona,personal_porcentaje,rendimiento,ebitda,inmovilizado,ingresos_de_explotacion,ingresos_de_explotacion_mil_eur_ano_1,ingresos_de_explotacion_mil_eur_ano_2,numero_empleados,valor_agregado,segmentacion_tamano_1,segmentacion_tamano_2,crecimiento,crece,capitalizacion,rotacion_de_activos,inmovilizado_tactivo,va_porcentaje,productividad_va_pax,productividad_ventas_pax,ultimo_ano_disponible,ult_año_disp,materiales,resultado_explotacion,resultado_del_ejercicio,deudores,deudores_sin_iva,existencias,acreedores_comerciales,acreedores_comerciales_sin_iva,deudas_financieras,dotaciones_para_amortiz_de_inmovil,cash_flow,fondo_de_maniobra,margen,coste,rotacion_stocks,competitividad,nofs_ventas,segmentacion_tamano_2_grp,segmentacion_tamano_1_grp,localidad_grp,sector_grp,inmovilizado_empleado,ebitda_porc,clientes_proveedores_sin_iva
267,CREACIONES ORCA SL.,B54757455,BANYERES DE MARIOLA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",2014-01-08,2014,11,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador,0.0,0.0,0.0,0.0,2538.61974,1094.40247,429.05489,28.6036593333333,0.123607151546812,0.11693594173344,296.85589,633.11691,3471.11704,3331.427329,3149.8405,15,726.44347,De 1 a 5M€,De 1 - 5M€,0.0419308894370902,Se mantiene,0.431101378735832,1.36732452887962,0.249394149121365,0.209282332352585,48.4295646666667,231.407802666667,2024-12-31,2024,2599.28597,256.57014,175.5772,507.37948,419.321884297521,1300.41566,701.36009,579.636438016529,298.65243,40.28575,215.86295,1106.435049,0.748832707179473,0.25116729282052697,1.99881164919223,1.49677553840648,0.328453662939868,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,42.207794,0.08552171723947401,0.7234222295140864
268,PLASTICOS BG SL,B53643177,IBI,2229,Plástico,Industria,Fabricación de otros productos de plástico,2002-04-01,2002,23,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,3477.29279,2640.65184,870.75142,31.098265,0.251653160599155,0.265365914154154,922.75498,1558.62126,3460.12511,3110.19053,3185.01354,28,1793.5064,De 1 a 5M€,De 1 - 5M€,0.112512264642514,Crece,0.759398762046724,0.995062917897115,0.448228364457052,0.518335708387146,64.0538,123.575896785714,2024-12-31,2024,1350.09482,625.24032,457.86876,1171.69399,968.342140495868,643.3279,300.80779,248.601479338843,41.3548,297.51466,755.383419,1514.2141,0.390186706283577,0.609813293716423,2.09861070847386,0.818850000110859,0.393936206878087,De 1 - 5M€,De 1 a 5M€,,Plástico,55.665045,0.2666825477879903,3.8951583999869155
269,VIO EUROPE SL,B97440119,ONTINYENT,2920,Motor,Industria,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,2004-03-09,2004,21,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,77.0,2093.9975364,0.0,0.0,1676.1842,628.97422,440.51635,33.8858730769231,0.127768799021317,0.171680331433741,287.767859,227.23378,3447.76153,2861.94546,1820.37751,13,728.28421,De 1 a 5M€,De 1 - 5M€,0.204691556211557,Crece,0.37524170672889,2.0569108872402,0.135566114989033,0.211233927771101,56.0218623076923,265.212425384615,2024-12-31,2024,2374.45356,265.393099,188.20225,828.03512,684.326545454545,496.91915,479.63218,396.390231404959,177.85329,22.37476,210.57701,845.32209,0.68869425548698,0.31130574451301996,4.77834987844602,3.29082211199268,0.227642038818615,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Otros,17.479521538461537,0.08346512845974007,1.7263960896034931
270,ACABADOS BAÑERES SA,A03040060,BANYERES DE MARIOLA,1330,Textil,Industria,Acabado de textiles,1974-03-23,1974,51,Mayor de 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,2075.98023,1283.92624,785.93343,35.7242468181818,0.22819072915108,0.100324197210683,208.27105,660.34329,3444.19527,3722.46923,3364.63034,22,996.18654,De 1 a 5M€,De 1 - 5M€,-0.074755207580319,Decrece,0.618467469702252,1.65906939778516,0.318087465601732,0.289236370735739,45.2812063636364,156.554330454545,2024-12-31,2024,1691.24297,143.40319,109.58903,671.55969,555.008008264463,302.95137,390.15579,322.442801652893,41.0687,64.86786,174.45689,584.35527,0.491041545969024,0.508958454030976,5.58255593958859,2.74126689903414,0.155483802348863,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,30.015604090909093,0.060470163179801355,1.7212603457711066
271,GRUPO ALBERT 2000 SL,B96887104,ONTINYENT,2222,Plástico,Industria,Fabricación de envases y embalajes de plástico,1999-05-10,1999,26,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,2387.25505,578.24297,541.9965,38.7140357142857,0.157767428827408,0.0676555485765964,161.51105,501.21524,3435.41442,3390.86355,4465.35376,14,706.334309,De 1 a 5M€,De 1 - 5M€,0.0131385027274247,Se mantiene,0.242220859476242,1.43906467807032,0.209954625501787,0.205603814459159,50.4524506428571,245.386744285714,2024-12-31,2024,2378.84405,93.46997,22.58589,564.40514,466.45052892562,1053.94194,246.76334,203.936644628099,1173.23184,68.04108,90.62697,1371.58374,0.692447477704888,0.307552522295112,2.25709212217136,1.56291774694513,0.383201460829148,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Plástico,35.80108857142857,0.04701355651875037,2.287232536243028
272,BSAFABRIC SOCIEDAD LIMITADA.,B98563059,ONTINYENT,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",2013-08-26,2013,12,Entre 10 y 25 años,DOFILL,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador,1.0,21.027474,0.0,0.0,1728.94935,524.39381,1066.96287,41.0370334615385,0.313620289482718,0.134378632896331,232.33385,759.18872,3402.08496,3349.65206,3361.71635,26,1299.33756,De 1 a 5M€,De 1 - 5M€,0.0156532377276224,Se mantiene,0.30330200823986,1.96771811736417,0.439104083644787,0.381923901159717,49.9745215384615,130.849421538462,2024-12-31,2024,1612.02837,119.47472,85.35119,468.91211,387.530669421488,454.63687,265.04511,219.045545454545,222.43036,112.85913,198.21032,658.50387,0.473835424145316,0.526164575854684,3.54574931417243,1.68010163019386,0.183158857375197,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,29.199566153846153,0.06829160727367609,1.7691784994637385
273,LIBERFUSTA SL,B96317474,L'OLLERIA,1623,Madera,Industria,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,1994-07-05,1994,31,Entre 25 y 50 años,Sin marca,No,Betea Espana Auditores S.L.P.,Sí,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador,0.0,0.0,0.0,0.0,2351.58361,751.79756,600.18908,33.3438377777778,0.176433789689113,0.170312974327968,400.505199,671.43401,3401.78081,3038.21348,2642.52344,18,1011.17253,De 1 a 5M€,De 1 - 5M€,0.11966484000986,Crece,0.319698418037537,1.44659147798704,0.28552419192954,0.297247996410445,56.1762516666667,188.987822777778,2024-12-31,2024,1824.0899,356.5671,215.13829,1414.408,1168.93223140496,265.41299,309.49354,255.779785123967,600.36025,43.9381,259.07639,1370.32745,0.536216176726566,0.46378382327343404,6.87264741639058,3.68522472160667,0.346455430877979,De 1 - 5M€,De 1 a 5M€,,Madera,37.30188944444444,0.1177339815142293,4.570072771147344
274,HILADOS LES MOLINES SL,B03926060,BANYERES DE MARIOLA,1310,Textil,Industria,Preparación e hilado de fibras textiles,1994-03-14,1994,31,Entre 25 y 50 años,GREENFIL RECYCLED YARN,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Exportador,0.0,0.0,0.0,0.0,3308.96548,1443.94008,687.93983,32.7590395238095,0.203289939713735,0.109993296152488,363.96402,1077.19967,3384.03283,3290.79748,3389.77884,21,1052.52182,De 1 a 5M€,De 1 - 5M€,0.028332144583993,Se mantiene,0.436372059100478,1.02268604808775,0.325539712188234,0.311025889190324,50.1200866666667,161.14442047619,2024-12-31,2024,1751.71946,237.62294,109.65812,588.51607,486.376917355372,1027.41669,324.86772,268.485719008264,419.93598,126.34108,235.9992,1291.065039,0.517642572634261,0.48235742736573906,1.70497469726718,0.882567488569705,0.367995214853488,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,51.29522238095238,0.10755333599999382,1.8115560080884645
276,TEXTILES BELTEX SL,B96263470,AGULLENT,1320,Textil,Industria,Fabricación de tejidos textiles,1994-02-03,1994,31,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,6962.38059,2954.82289,566.47462,31.4708122222222,0.168706897477017,0.186140884320718,1295.98368,5228.61443,3357.74428,4035.47206,3356.88586,18,1862.458299,De 1 a 5M€,De 1 - 5M€,-0.167942627262299,Decrece,0.424398357976004,0.482269568087487,0.750980840879312,0.55467544389652,103.4699055,186.541348888889,2024-12-31,2024,1251.45261,230.28723,106.50681,218.45916,180.544760330579,1059.88611,615.78381,508.912239669422,460.95546,1065.69645,1172.20326,662.56146,0.372706348560886,0.627293651439114,1.18074253279911,0.44007023799009,0.217860137538871,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,290.47857944444445,0.38596854671732184,0.35476600139909553
277,"PERCHADOS TEXTILES, SA",A46020129,AGULLENT,1330,Textil,Industria,Acabado de textiles,1961-04-12,1961,64,Mayor de 50 años,Sin marca,No,Servicios De Control Y Auditoria Financial,Sí,0.0,No Grupo Corporativo,2,Participadas,,No consejo,No realiza actividad exterior,,,,,5139.48818,3608.82026,1040.07003,33.5506461290323,0.312064207111998,-0.00866612927982257,-44.539469,3949.45985,3332.87191,3455.81258,3859.46345,31,1002.02011,De 1 a 5M€,De 1 - 5M€,-0.0355750397783435,Se mantiene,0.702175028642638,0.64848323281872,0.768453922195809,0.300647650752351,32.3232293548387,107.511997096774,2024-12-31,2024,574.38484,-161.37283,-117.7817,785.35763,649.055892561983,242.25674,0.0,0.0,108.45835,116.83336,-0.948339,1027.61437,0.172339308413446,0.827660691586554,2.37097568472192,0.408612309770072,0.26743080941325,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,127.4019306451613,-0.013363690595598077,
278,MUELLES BROTONS SL,B03058278,IBI,2593,Metal,Industria,"Fabricación de productos de alambre, cadenas y muelles",1978-01-27,1978,47,Entre 25 y 50 años,MUELLES BROTONS,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,6179.57775,5120.60291,611.29359,55.5721445454545,0.183692358800043,0.184661133197976,1141.12783,949.92834,3327.81175,3665.36907,4408.20865,11,1775.06324,De 1 a 5M€,De 1 - 5M€,-0.0920936783045425,Decrece,0.828633139214083,0.538517660045624,0.153720590375289,0.533402539972401,161.369385454545,302.528340909091,2024-12-31,2024,1269.6256,960.86561,762.21826,1011.99197,836.357,43.73188,261.01307,215.713280991736,0.0,180.26222,942.48048,794.710779,0.381519657775113,0.618480342224887,29.0320379549198,11.0762931850751,0.199643383976953,De 1 - 5M€,De 1 a 5M€,,Metal,86.35712181818182,0.3429063648206663,3.8771697141449573
279,TOTCARTO SL.,B42693218,IBI,1729,Papel y cartón,Industria,Fabricación de otros artículos de papel y cartón,2020-01-21,2020,5,Menor de 10 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,2808.80875,374.08129,740.74461,25.5429175862069,0.22310114186992,0.140016656527434,393.28001,1104.90736,3320.21882,2712.57021,1985.00455,29,1134.03163,De 1 a 5M€,De 1 - 5M€,0.224012122436455,Crece,0.133181474174772,1.18207365311006,0.393372229419322,0.341553280515409,39.1045389655172,114.490304137931,2024-12-31,2024,2030.36038,346.94069,163.05491,860.97079,711.546107438017,831.11563,328.68152,271.637619834711,779.54762,46.33932,209.39423,1363.4049,0.611514026656833,0.38848597334316703,2.44293369864792,1.49388822291586,0.382813358549454,De 1 - 5M€,De 1 a 5M€,,Papel y cartón,38.10025379310345,0.11845002733886076,2.6194682013153634
280,MAXIMA AMENITIES SL,B54549381,IBI,2229,Plástico,Industria,Fabricación de otros productos de plástico,2011-02-23,2011,14,Entre 10 y 25 años,MAXIMA AMENITIES,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1390.76142,857.67066,518.48099,25.9240495,0.156666471518857,0.236945708488232,329.53495,308.65659,3309.45725,3141.68895,2759.53626,20,849.41846,De 1 a 5M€,De 1 - 5M€,0.0534006716355544,Crece,0.616691437989414,2.37960098864405,0.221933529044831,0.256663977152145,42.470923,165.4728625,2024-12-31,2024,2319.70248,257.5506,196.64427,222.03246,183.497900826446,104.83961,488.99691,404.12967768595,0.0,71.98435,268.62862,-162.124839,0.70093139290438,0.29906860709562,22.1262028731316,15.5089501995491,-0.0349882648762132,De 1 - 5M€,De 1 a 5M€,,Plástico,15.4328295,0.09957371408861679,0.4540569796238587
281,LUXBER SL,B03259082,IBI,2896,Plástico,Industria,Fabricación de maquinaria para la industria del plástico y el caucho,1986-12-30,1986,39,Entre 25 y 50 años,LUXBER BLANQUINARIA,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,3884.87961,782.97363,1186.32174,35.9491436363636,0.358978346437447,0.05285988514841,205.35429,368.03301,3304.71671,3002.39833,3144.90252,33,1391.98583,De 1 a 5M€,De 1 - 5M€,0.100692295548939,Crece,0.201543859424771,0.850661292435778,0.0947347271850208,0.421211847232739,42.1813887878788,100.142930606061,2024-12-31,2024,2098.983839,130.62694,22.39123,989.96971,818.156785123967,2523.16367,668.36558,552.368247933884,992.35625,74.72735,97.11858,2844.7678,0.63514788806209,0.36485211193791,0.831885725035031,0.528370461365001,0.843930797078846,De 1 - 5M€,De 1 a 5M€,,Plástico,11.152515454545455,0.062139755997421026,1.4811799703988355
283,SEMPERE TEXTIL SL,B53225108,COCENTAINA,1394,Textil,Industria,"Fabricación de cuerdas, cordeles, bramantes y redes",1997-10-16,1997,28,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,4554.22893,3790.20626,507.09453,50.709453,0.154617412526374,0.150131473518175,683.7331,714.44159,3279.67285,3056.43608,3219.45666,10,1225.855549,De 1 a 5M€,De 1 - 5M€,0.073038258990844,Crece,0.832238852779849,0.720137898294015,0.15687432515607,0.373773728376597,122.5855549,327.967285,2024-12-31,2024,1468.3963,544.56869,445.41443,894.04878,738.883289256198,1056.16445,33.29773,27.5187851239669,0.0,139.16441,584.57884,1916.9155,0.447726455399355,0.552273544600645,1.39031028737996,0.622478696873889,0.538934532489188,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,71.444159,0.2084760069895386,26.85014203670944
284,ROIG ALBERT SL,B46834735,ALBAIDA,1013,Alimentación,Industria,Elaboración de productos cárnicos y de volatería,1990-11-22,1990,35,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1139.60487,373.19973,379.83359,23.739599375,0.118921952926538,0.0342789163405383,39.06442,45.73049,3193.9737,3466.236559,3828.23591,16,418.89801,De 1 a 5M€,De 1 - 5M€,-0.0785471084750624,Decrece,0.327481691088245,2.80270274731276,0.0401283736177786,0.131152617192809,26.181125625,199.62335625,2024-12-31,2024,2591.64898,24.13973,14.11182,500.22438,413.408578512397,593.65,558.11976,461.256,0.0,14.92469,29.03651,535.754619,0.811418384565909,0.18858161543409102,4.36561775456919,3.54234250604478,0.170885119846916,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Alimentación,2.858155625,0.012230664266271197,0.8962671022434332
286,COMERCIAL INDUSTRIAL DE MANUFACTURADOS TEXTILES SL,B03088036,COCENTAINA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",1981-03-12,1981,44,Entre 25 y 50 años,BIMBIDREAMS,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Exportador,0.0,0.0,0.0,0.0,4144.08671,3798.96846,727.50752,36.375376,0.228330545004187,0.0242867239619125,100.64629,463.48979,3186.20323,3374.30542,3957.43209,20,828.50572,De 1 a 5M€,De 1 - 5M€,-0.0557454547193893,Decrece,0.916720311578616,0.768855348106362,0.111843651553324,0.260029150745667,41.425286,159.3101615,2024-12-31,2024,1572.82695,58.6503,62.62153,712.27221,588.654719008264,1664.24134,181.67832,150.147371900826,15.90152,41.99599,104.61752,2194.83523,0.493636732017248,0.506363267982752,0.945071434170719,0.466521974286888,0.659954351721449,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,23.1744895,0.03158815767065806,3.9205129703973576
287,MUÑECAS PAOLA SL,B53030540,ONIL,3240,Juguete,Industria,Fabricación de juegos y juguetes,1995-05-08,1995,30,Entre 25 y 50 años,PAOLA REINA,Sí,Sin auditor,No,0.0,No Grupo Corporativo,1,Participadas,,No consejo,No realiza actividad exterior,,,,,1675.85649,697.0771,561.53469,31.1963716666667,0.176634540406681,0.07679678466979,128.70039,178.33985,3179.07635,3600.76438,3845.2513,18,694.93762,De 1 a 5M€,De 1 - 5M€,-0.117110698034621,Decrece,0.415952740678887,1.89698603011049,0.106417137185774,0.218597335669526,38.6076455555556,176.615352777778,2024-12-31,2024,2075.93579,114.64538,60.02341,992.95723,820.625809917355,471.61668,9.02861,7.4616611570248,644.28246,14.05501,74.07842,1455.545299,0.652999664509473,0.347000335490527,4.40174378480422,2.87433721473381,0.404136512405665,De 1 - 5M€,De 1 a 5M€,,Juguete,9.907769444444446,0.04048357945225191,109.97897018477913
288,NINES ARTESANALS D'ONIL S.L.,B53036844,ONIL,3240,Juguete,Industria,Fabricación de juegos y juguetes,1995-06-27,1995,30,Entre 25 y 50 años,NINES ARTESANALS D'ONIL MUÑECAS QUE BUSCAN SU ESTRELLA SINCE 1985,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,1801.86717,1347.17507,786.52956,32.772065,0.249307526427681,0.28466987941181,512.93731,133.45653,3154.85686,3461.82456,2731.56604,24,1327.78573,De 1 a 5M€,De 1 - 5M€,-0.0886722289589396,Decrece,0.747655039411146,1.75088203643779,0.0740656870950149,0.420870356064269,55.3244054166667,131.452369166667,2024-12-31,2024,1277.06081,465.87786,365.935059,788.00265,651.241859504132,41.41534,195.01632,161.170512396694,0.00314,47.05945,412.994509,634.401669,0.40479199744105,0.59520800255895,30.8354539646421,12.481945002349,0.168466181095594,De 1 - 5M€,De 1 a 5M€,,Juguete,5.56068875,0.16258655551174517,4.0407010551732325
289,ETIQUETAS GRANERO SL,B96363148,MONTAVERNER,1812,Artes gráficas,Industria,Otras actividades de impresión y artes gráficas,1995-01-01,1995,30,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,1,Participadas,,No consejo,Exportador,0.0,0.0,0.0,0.0,1960.82253,1504.12149,1354.41521,31.4980281395349,0.431777387030998,0.104983876332755,205.85475,827.03799,3136.83683,3323.65972,3263.31451,43,1560.337119,De 1 a 5M€,De 1 - 5M€,-0.0562099931216785,Decrece,0.767087009144066,1.59975560358336,0.421781154258769,0.497423743586943,36.286909744186,72.9496937209302,2024-12-31,2024,1061.61802,65.62556,49.65303,561.37043,463.942504132231,501.14975,139.17526,115.020876033058,0.0,140.22919,189.88222,923.34492,0.338435843983635,0.661564156016365,2.11836486000442,0.71693059926087,0.270996364863254,De 1 - 5M€,De 1 a 5M€,,Otros,19.233441627906977,0.06562494677161769,4.033550431305096
290,JOVERTEX SA,A03037728,COCENTAINA,1330,Textil,Industria,Acabado de textiles,1973-10-13,1973,52,Mayor de 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,1,Participadas,,No consejo,No realiza actividad exterior,,,,,2272.13617,1729.46208,939.47646,31.315882,0.300126441534313,0.0989492148263279,224.82609,1274.03503,3130.26888,3750.8458,3874.204909,30,1164.31512,De 1 a 5M€,De 1 - 5M€,-0.165449862001792,Decrece,0.761161281984257,1.37767662049938,0.56072124849806,0.371953708973397,38.810504,104.342296,2024-12-31,2024,990.67449,32.16536,17.12644,541.19416,447.267900826446,297.45756,37.87433,31.3010991735537,0.0,192.66073,209.78717,800.77739,0.316482234586826,0.683517765413174,3.33047339593588,1.05403566257776,0.227911527412588,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,42.467834333333336,0.07182325180960174,14.289207492251348
291,PRODUCTOS CONGELADOS LEVANTE SOCIEDAD LIMITADA.,B02721660,ONTINYENT,1022,Alimentación,Industria,Fabricación de conservas de pescado,2020-10-26,2020,5,Menor de 10 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1197.70941,425.38338,392.92026,56.1314657142857,0.125691352765341,0.152902731222593,183.13304,301.00752,3126.07233,2827.31168,2688.33768,7,576.0533,De 1 a 5M€,De 1 - 5M€,0.105669513592502,Crece,0.355164096105749,2.6100423891635,0.251319324609798,0.184273823248357,82.2933285714286,446.581761428571,2024-12-31,2024,2399.49617,143.12164,101.13216,304.87414,251.962099173554,225.0,556.70495,460.08673553719,40.18901,40.0114,141.14356,-26.830809,0.767575384284215,0.232424615715785,10.6644274222222,8.18575197678334,0.00539826397310634,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Alimentación,43.00107428571429,0.058582470483016624,0.5476404332312842
292,COLOR INDUSTRIAL SA,A46601373,ONTINYENT,2030,Artes gráficas,Industria,"Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",1989-01-25,1989,36,Entre 25 y 50 años,HYNSEL,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,2501.36687,1364.92287,856.57552,38.9352509090909,0.274218180615762,0.0672253806575762,168.15534,1148.28207,3123.70069,3073.48534,2927.79346,22,1024.26839,De 1 a 5M€,De 1 - 5M€,0.0163382428887719,Se mantiene,0.545670803579485,1.24879749846531,0.459061836858821,0.327902219722594,46.5576540909091,141.986395,2024-12-31,2024,1718.03571,45.70381,21.32335,634.91097,524.719809917355,669.4953,339.74806,280.783520661157,20.34,122.45153,143.77488,964.65821,0.550000105803991,0.44999989419600905,2.56616545328996,1.41139127082003,0.292419690587,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Otros,52.19463954545454,0.05383209106375681,1.8687699644259912
293,SUINSO S. L.,B03788262,IBI,2849,Maquinaria,Industria,Fabricación de otras máquinas herramienta,1992-07-07,1992,33,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Exportador,0.0,0.0,0.0,0.0,3216.74224,2083.62898,715.43258,44.71453625,0.229148530971454,0.25273305703226,812.9771,1601.63148,3122.1347,2098.48803,2253.65381,16,1527.33453,De 1 a 5M€,De 1 - 5M€,0.487802005713609,Crece,0.647745086345495,0.970589020524069,0.49790482435422,0.48919559108068,95.458408125,195.13341875,2024-12-31,2024,1313.70415,603.31829,439.892059,812.32264,671.341024793388,117.11326,178.86242,147.820181818182,103.72861,209.65881,649.550869,750.57348,0.420771131367266,0.579228868632734,11.2173817892184,4.719950426428,0.205191051806703,De 1 - 5M€,De 1 a 5M€,,Otros,100.1019675,0.2603914238549669,4.541606000858081
294,FOCS D'ARTIFICI EUROPLA SL,B96643291,BELGIDA,2051,Química,Industria,Fabricación de explosivos,1997-04-18,1997,28,Entre 25 y 50 años,E EUROPLA,Sí,Sin auditor,No,2.0,Grupo Corporativo,1,Participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,3216.90845,1427.27439,738.04319,36.9021595,0.238999684234479,0.167695679993629,539.46165,1571.3928,3088.0509,2854.45088,2400.081369,20,1277.82792,De 1 a 5M€,De 1 - 5M€,0.0818371132734295,Crece,0.443678896115306,0.959943668897385,0.488479179443232,0.413797557546736,63.891396,154.402545,2024-12-31,2024,1436.1007,363.44971,251.82837,348.85709,288.311644628099,1286.17088,177.91696,147.038809917355,458.3029,176.01194,427.84031,1457.11101,0.465050851331498,0.5349491486685021,1.11657068460452,0.519262147447127,0.462247469661444,De 1 - 5M€,De 1 a 5M€,,Otros,78.56964,0.17469325068443656,1.960786031865656
295,M T REMON 2000 SL,B53547360,COCENTAINA,1394,Textil,Industria,"Fabricación de cuerdas, cordeles, bramantes y redes",2001-04-10,2001,24,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1531.07324,916.57204,169.63733,28.2728883333333,0.0550088852551525,0.115792121740695,177.286219,182.80281,3083.8169,2448.05591,2153.89279,6,346.92355,De 1 a 5M€,De 1 - 5M€,0.259700355454708,Crece,0.598646763625756,2.01415374485939,0.119395209336949,0.112498102594872,57.8205916666667,513.969483333333,2024-12-31,2024,2452.11823,143.55702,105.00511,800.17051,661.29794214876,253.2,440.71661,364.228603305785,0.5801,33.7292,138.73431,612.6539,0.795156881720183,0.20484311827981705,9.68451117693523,7.70070570843607,0.178437746690789,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,30.467135,0.05748921701544602,1.815612327386526
296,IGETEX ACOLCHADOS SL,B97761019,ATZENETA D'ALBAIDA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",2006-06-29,2006,19,Entre 10 y 25 años,OPTIMA 2.0,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,1991.00198,1586.3131,573.92356,23.9134816666667,0.186476230578716,0.210835701931346,419.7743,672.47618,3077.73038,1958.579839,1920.35415,24,1002.30108,De 1 a 5M€,De 1 - 5M€,0.571409201052232,Crece,0.79674109615903,1.54581984895866,0.33775766511292,0.325662405814768,41.762545,128.238765833333,2024-12-31,2024,1848.62088,312.64875,238.23418,568.2595,469.635950413223,212.46137,174.98453,144.615314049587,3.34069,107.12555,345.35973,605.73634,0.600644192880859,0.399355807119141,8.7009741111996,5.22618957229874,0.174635832253648,De 1 - 5M€,De 1 a 5M€,,Textil,28.019840833333333,0.13639086215212912,3.247484220462226
